issue_id,ml_label,device_type,condition_signature,issue_title,problem_summary,cause_analysis,risk_impact,severity,recommended_action,reassurance,user_message
193,Faulty,Fan,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(25, 45)",HIGH RISK Electrical Issue Detected,Intermittent electrical instability,Minor wiring or contact issues,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Intermittent electrical instability

Why this happened:
• Minor wiring or contact issues

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
194,Faulty,Fan,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(45, 60)",HIGH RISK Electrical Issue Detected,"Intermittent electrical instability, Rising temperature",Minor wiring or contact issues; Continuous electrical load,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Intermittent electrical instability, Rising temperature

Why this happened:
• Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
195,Faulty,Fan,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(60, 95)",HIGH RISK Electrical Issue Detected,"Intermittent electrical instability, Overheating",Minor wiring or contact issues; Electrical stress causing temperature rise,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Intermittent electrical instability, Overheating

Why this happened:
• Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
196,Faulty,Fan,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(25, 45)",HIGH RISK Electrical Issue Detected,Severe electrical spikes,Possible loose wiring or sparking,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Severe electrical spikes

Why this happened:
• Possible loose wiring or sparking

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
197,Faulty,Fan,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(45, 60)",HIGH RISK Electrical Issue Detected,"Severe electrical spikes, Rising temperature",Possible loose wiring or sparking; Continuous electrical load,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Severe electrical spikes, Rising temperature

Why this happened:
• Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
198,Faulty,Fan,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(60, 95)",HIGH RISK Electrical Issue Detected,"Severe electrical spikes, Overheating",Possible loose wiring or sparking; Electrical stress causing temperature rise,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Severe electrical spikes, Overheating

Why this happened:
• Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
199,Faulty,Fan,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(25, 45)",HIGH RISK Electrical Issue Detected,Electrical overload,Device is drawing more current than expected,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Electrical overload

Why this happened:
• Device is drawing more current than expected

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
200,Faulty,Fan,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(45, 60)",HIGH RISK Electrical Issue Detected,"Electrical overload, Rising temperature",Device is drawing more current than expected; Continuous electrical load,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Rising temperature

Why this happened:
• Device is drawing more current than expected; Continuous electrical load

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
201,Faulty,Fan,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(60, 95)",HIGH RISK Electrical Issue Detected,"Electrical overload, Overheating",Device is drawing more current than expected; Electrical stress causing temperature rise,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Overheating

Why this happened:
• Device is drawing more current than expected; Electrical stress causing temperature rise

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
202,Faulty,Fan,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(25, 45)",HIGH RISK Electrical Issue Detected,"Electrical overload, Intermittent electrical instability",Device is drawing more current than expected; Minor wiring or contact issues,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Intermittent electrical instability

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
203,Faulty,Fan,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(45, 60)",CRITICAL Electrical Issue Detected,"Electrical overload, Intermittent electrical instability, Rising temperature",Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load,"High risk of device damage, power loss, or safety hazard",CRITICAL,Immediately switch off the device and consult a qualified electrician,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 CRITICAL Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Intermittent electrical instability, Rising temperature

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: CRITICAL
• Impact: High risk of device damage, power loss, or safety hazard

What you should do now:
• Immediately switch off the device and consult a qualified electrician

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
204,Faulty,Fan,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(60, 95)",CRITICAL Electrical Issue Detected,"Electrical overload, Intermittent electrical instability, Overheating",Device is drawing more current than expected; Minor wiring or contact issues; Electrical stress causing temperature rise,"High risk of device damage, power loss, or safety hazard",CRITICAL,Immediately switch off the device and consult a qualified electrician,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 CRITICAL Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Intermittent electrical instability, Overheating

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: CRITICAL
• Impact: High risk of device damage, power loss, or safety hazard

What you should do now:
• Immediately switch off the device and consult a qualified electrician

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
205,Faulty,Fan,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(25, 45)",HIGH RISK Electrical Issue Detected,"Electrical overload, Severe electrical spikes",Device is drawing more current than expected; Possible loose wiring or sparking,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Severe electrical spikes

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
206,Faulty,Fan,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(45, 60)",CRITICAL Electrical Issue Detected,"Electrical overload, Severe electrical spikes, Rising temperature",Device is drawing more current than expected; Possible loose wiring or sparking; Continuous electrical load,"High risk of device damage, power loss, or safety hazard",CRITICAL,Immediately switch off the device and consult a qualified electrician,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 CRITICAL Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Severe electrical spikes, Rising temperature

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: CRITICAL
• Impact: High risk of device damage, power loss, or safety hazard

What you should do now:
• Immediately switch off the device and consult a qualified electrician

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
207,Faulty,Fan,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(60, 95)",CRITICAL Electrical Issue Detected,"Electrical overload, Severe electrical spikes, Overheating",Device is drawing more current than expected; Possible loose wiring or sparking; Electrical stress causing temperature rise,"High risk of device damage, power loss, or safety hazard",CRITICAL,Immediately switch off the device and consult a qualified electrician,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 CRITICAL Electrical Issue Detected – Fan

Problems detected:
• Electrical overload, Severe electrical spikes, Overheating

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: CRITICAL
• Impact: High risk of device damage, power loss, or safety hazard

What you should do now:
• Immediately switch off the device and consult a qualified electrician

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
208,Faulty,Fan,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(25, 45)",HIGH RISK Electrical Issue Detected,Excessive current draw,Current is flowing far above the normal baseline,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw

Why this happened:
• Current is flowing far above the normal baseline

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
209,Faulty,Fan,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(45, 60)",HIGH RISK Electrical Issue Detected,"Excessive current draw, Rising temperature",Current is flowing far above the normal baseline; Continuous electrical load,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Rising temperature

Why this happened:
• Current is flowing far above the normal baseline; Continuous electrical load

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
210,Faulty,Fan,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(60, 95)",HIGH RISK Electrical Issue Detected,"Excessive current draw, Overheating",Current is flowing far above the normal baseline; Electrical stress causing temperature rise,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Overheating

Why this happened:
• Current is flowing far above the normal baseline; Electrical stress causing temperature rise

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
211,Faulty,Fan,"ΔI:(1.35, 2.2), spikes:(2, 5), temp:(25, 45)",HIGH RISK Electrical Issue Detected,"Excessive current draw, Intermittent electrical instability",Current is flowing far above the normal baseline; Minor wiring or contact issues,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Intermittent electrical instability

Why this happened:
• Current is flowing far above the normal baseline; Minor wiring or contact issues

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
212,Faulty,Fan,"ΔI:(1.35, 2.2), spikes:(2, 5), temp:(45, 60)",CRITICAL Electrical Issue Detected,"Excessive current draw, Intermittent electrical instability, Rising temperature",Current is flowing far above the normal baseline; Minor wiring or contact issues; Continuous electrical load,"High risk of device damage, power loss, or safety hazard",CRITICAL,Immediately switch off the device and consult a qualified electrician,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 CRITICAL Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Intermittent electrical instability, Rising temperature

Why this happened:
• Current is flowing far above the normal baseline; Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: CRITICAL
• Impact: High risk of device damage, power loss, or safety hazard

What you should do now:
• Immediately switch off the device and consult a qualified electrician

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
213,Faulty,Fan,"ΔI:(1.35, 2.2), spikes:(2, 5), temp:(60, 95)",CRITICAL Electrical Issue Detected,"Excessive current draw, Intermittent electrical instability, Overheating",Current is flowing far above the normal baseline; Minor wiring or contact issues; Electrical stress causing temperature rise,"High risk of device damage, power loss, or safety hazard",CRITICAL,Immediately switch off the device and consult a qualified electrician,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 CRITICAL Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Intermittent electrical instability, Overheating

Why this happened:
• Current is flowing far above the normal baseline; Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: CRITICAL
• Impact: High risk of device damage, power loss, or safety hazard

What you should do now:
• Immediately switch off the device and consult a qualified electrician

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
214,Faulty,Fan,"ΔI:(1.35, 2.2), spikes:(6, 15), temp:(25, 45)",HIGH RISK Electrical Issue Detected,"Excessive current draw, Severe electrical spikes",Current is flowing far above the normal baseline; Possible loose wiring or sparking,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Severe electrical spikes

Why this happened:
• Current is flowing far above the normal baseline; Possible loose wiring or sparking

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
215,Faulty,Fan,"ΔI:(1.35, 2.2), spikes:(6, 15), temp:(45, 60)",CRITICAL Electrical Issue Detected,"Excessive current draw, Severe electrical spikes, Rising temperature",Current is flowing far above the normal baseline; Possible loose wiring or sparking; Continuous electrical load,"High risk of device damage, power loss, or safety hazard",CRITICAL,Immediately switch off the device and consult a qualified electrician,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 CRITICAL Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Severe electrical spikes, Rising temperature

Why this happened:
• Current is flowing far above the normal baseline; Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: CRITICAL
• Impact: High risk of device damage, power loss, or safety hazard

What you should do now:
• Immediately switch off the device and consult a qualified electrician

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
216,Faulty,Fan,"ΔI:(1.35, 2.2), spikes:(6, 15), temp:(60, 95)",CRITICAL Electrical Issue Detected,"Excessive current draw, Severe electrical spikes, Overheating",Current is flowing far above the normal baseline; Possible loose wiring or sparking; Electrical stress causing temperature rise,"High risk of device damage, power loss, or safety hazard",CRITICAL,Immediately switch off the device and consult a qualified electrician,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 CRITICAL Electrical Issue Detected – Fan

Problems detected:
• Excessive current draw, Severe electrical spikes, Overheating

Why this happened:
• Current is flowing far above the normal baseline; Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: CRITICAL
• Impact: High risk of device damage, power loss, or safety hazard

What you should do now:
• Immediately switch off the device and consult a qualified electrician

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
217,Faulty,LED Light,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(25, 45)",HIGH RISK Electrical Issue Detected,Minor electrical anomaly,Slight deviation from normal behavior,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Minor electrical anomaly

Why this happened:
• Slight deviation from normal behavior

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
218,Faulty,LED Light,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(45, 60)",HIGH RISK Electrical Issue Detected,Rising temperature,Continuous electrical load,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Rising temperature

Why this happened:
• Continuous electrical load

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
219,Faulty,LED Light,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(60, 95)",HIGH RISK Electrical Issue Detected,Overheating,Electrical stress causing temperature rise,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Overheating

Why this happened:
• Electrical stress causing temperature rise

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
220,Faulty,LED Light,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(25, 45)",HIGH RISK Electrical Issue Detected,Intermittent electrical instability,Minor wiring or contact issues,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Intermittent electrical instability

Why this happened:
• Minor wiring or contact issues

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
221,Faulty,LED Light,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(45, 60)",HIGH RISK Electrical Issue Detected,"Intermittent electrical instability, Rising temperature",Minor wiring or contact issues; Continuous electrical load,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Intermittent electrical instability, Rising temperature

Why this happened:
• Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
222,Faulty,LED Light,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(60, 95)",HIGH RISK Electrical Issue Detected,"Intermittent electrical instability, Overheating",Minor wiring or contact issues; Electrical stress causing temperature rise,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Intermittent electrical instability, Overheating

Why this happened:
• Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
223,Faulty,LED Light,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(25, 45)",HIGH RISK Electrical Issue Detected,Severe electrical spikes,Possible loose wiring or sparking,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Severe electrical spikes

Why this happened:
• Possible loose wiring or sparking

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
224,Faulty,LED Light,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(45, 60)",HIGH RISK Electrical Issue Detected,"Severe electrical spikes, Rising temperature",Possible loose wiring or sparking; Continuous electrical load,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Severe electrical spikes, Rising temperature

Why this happened:
• Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
225,Faulty,LED Light,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(60, 95)",HIGH RISK Electrical Issue Detected,"Severe electrical spikes, Overheating",Possible loose wiring or sparking; Electrical stress causing temperature rise,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Severe electrical spikes, Overheating

Why this happened:
• Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
226,Faulty,LED Light,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(25, 45)",HIGH RISK Electrical Issue Detected,Electrical overload,Device is drawing more current than expected,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Electrical overload

Why this happened:
• Device is drawing more current than expected

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
227,Faulty,LED Light,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(45, 60)",HIGH RISK Electrical Issue Detected,"Electrical overload, Rising temperature",Device is drawing more current than expected; Continuous electrical load,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Electrical overload, Rising temperature

Why this happened:
• Device is drawing more current than expected; Continuous electrical load

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
228,Faulty,LED Light,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(60, 95)",HIGH RISK Electrical Issue Detected,"Electrical overload, Overheating",Device is drawing more current than expected; Electrical stress causing temperature rise,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Electrical overload, Overheating

Why this happened:
• Device is drawing more current than expected; Electrical stress causing temperature rise

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
229,Faulty,LED Light,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(25, 45)",HIGH RISK Electrical Issue Detected,"Electrical overload, Intermittent electrical instability",Device is drawing more current than expected; Minor wiring or contact issues,Device may fail if used continuously,HIGH RISK,Reduce usage and inspect wiring or device condition,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 HIGH RISK Electrical Issue Detected – LED Light

Problems detected:
• Electrical overload, Intermittent electrical instability

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues

How serious is this:
• Severity: HIGH RISK
• Impact: Device may fail if used continuously

What you should do now:
• Reduce usage and inspect wiring or device condition

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
230,Faulty,LED Light,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(45, 60)",CRITICAL Electrical Issue Detected,"Electrical overload, Intermittent electrical instability, Rising temperature",Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load,"High risk of device damage, power loss, or safety hazard",CRITICAL,Immediately switch off the device and consult a qualified electrician,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 CRITICAL Electrical Issue Detected – LED Light

Problems detected:
• Electrical overload, Intermittent electrical instability, Rising temperature

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: CRITICAL
• Impact: High risk of device damage, power loss, or safety hazard

What you should do now:
• Immediately switch off the device and consult a qualified electrician

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
